time_ms,channel,count,rate_per_s
1758587880000,live,804,13.4
1758587940000,live,2903,48.38333333333333
1758588000000,live,2824,47.06666666666667
1758588060000,live,2841,47.35
1758588120000,live,2891,48.18333333333333
1758588180000,live,2855,47.583333333333336
1758588240000,live,2872,47.86666666666667
1758588300000,live,2834,47.233333333333334
1758588360000,live,2848,47.46666666666667
1758588420000,live,2831,47.18333333333333
1758588480000,live,2819,46.983333333333334
1758588540000,live,2888,48.13333333333333
1758588600000,live,2806,46.766666666666666
1758588660000,live,2856,47.6
1758588720000,live,2852,47.53333333333333
1758588780000,live,2830,47.166666666666664
1758588840000,live,2826,47.1
1758588900000,live,2812,46.86666666666667
1758588960000,live,2854,47.56666666666667
1758589020000,live,2830,47.166666666666664
1758589080000,live,2064,34.4
