time_ms,channel,thingId,phase,lat_rules_db_ms
1758587923025,live,org.eclipse.ditto:lightswitch:demo,after_db,2.575
1758587923032,live,org.eclipse.ditto:lightswitch:demo,after_db,2.575
1758587923052,live,org.eclipse.ditto:lightswitch:demo,after_db,3.421
1758587923059,live,org.eclipse.ditto:lightswitch:demo,after_db,3.421
1758587923077,live,org.eclipse.ditto:lightswitch:demo,after_db,3.851
1758587923084,live,org.eclipse.ditto:lightswitch:demo,after_db,3.851
1758587923140,live,org.eclipse.ditto:lightswitch:demo,after_db,3.117
1758587923147,live,org.eclipse.ditto:lightswitch:demo,after_db,3.117
1758587923157,live,org.eclipse.ditto:lightswitch:demo,after_db,3.58
1758587923168,live,org.eclipse.ditto:lightswitch:demo,after_db,3.58
1758587923226,live,org.eclipse.ditto:lightswitch:demo,after_db,2.567
1758587923233,live,org.eclipse.ditto:lightswitch:demo,after_db,2.567
1758587923251,live,org.eclipse.ditto:lightswitch:demo,after_db,3.815
1758587923259,live,org.eclipse.ditto:lightswitch:demo,after_db,3.815
1758587923282,live,org.eclipse.ditto:lightswitch:demo,after_db,3.991
1758587923289,live,org.eclipse.ditto:lightswitch:demo,after_db,3.991
1758587923304,live,org.eclipse.ditto:lightswitch:demo,after_db,2.576
1758587923311,live,org.eclipse.ditto:lightswitch:demo,after_db,2.576
1758587923320,live,org.eclipse.ditto:lightswitch:demo,after_db,3.403
1758587923330,live,org.eclipse.ditto:lightswitch:demo,after_db,3.403
1758587923343,live,org.eclipse.ditto:lightswitch:demo,after_db,3.11
1758587923349,live,org.eclipse.ditto:lightswitch:demo,after_db,3.11
1758587923407,live,org.eclipse.ditto:lightswitch:demo,after_db,3.394
1758587923414,live,org.eclipse.ditto:lightswitch:demo,after_db,3.394
1758587923485,live,org.eclipse.ditto:lightswitch:demo,after_db,3.372
1758587923491,live,org.eclipse.ditto:lightswitch:demo,after_db,3.372
1758587923510,live,org.eclipse.ditto:lightswitch:demo,after_db,3.968
1758587923517,live,org.eclipse.ditto:lightswitch:demo,after_db,3.968
1758587923526,live,org.eclipse.ditto:lightswitch:demo,after_db,2.989
1758587923537,live,org.eclipse.ditto:lightswitch:demo,after_db,2.989
1758587923543,live,org.eclipse.ditto:lightswitch:demo,after_db,3.495
1758587923547,live,org.eclipse.ditto:lightswitch:demo,after_db,3.495
1758587923614,live,org.eclipse.ditto:lightswitch:demo,after_db,2.785
1758587923618,live,org.eclipse.ditto:lightswitch:demo,after_db,2.785
1758587923629,live,org.eclipse.ditto:lightswitch:demo,after_db,3.461
1758587923632,live,org.eclipse.ditto:lightswitch:demo,after_db,3.461
1758587923688,live,org.eclipse.ditto:lightswitch:demo,after_db,2.935
1758587923691,live,org.eclipse.ditto:lightswitch:demo,after_db,2.935
1758587923695,live,org.eclipse.ditto:lightswitch:demo,after_db,3.442
1758587923698,live,org.eclipse.ditto:lightswitch:demo,after_db,3.442
1758587923772,live,org.eclipse.ditto:lightswitch:demo,after_db,3.148
1758587923776,live,org.eclipse.ditto:lightswitch:demo,after_db,3.148
1758587923788,live,org.eclipse.ditto:lightswitch:demo,after_db,3.489
1758587923792,live,org.eclipse.ditto:lightswitch:demo,after_db,3.489
1758587923843,live,org.eclipse.ditto:lightswitch:demo,after_db,3.599
1758587923847,live,org.eclipse.ditto:lightswitch:demo,after_db,3.599
1758587923855,live,org.eclipse.ditto:lightswitch:demo,after_db,3.506
1758587923858,live,org.eclipse.ditto:lightswitch:demo,after_db,3.506
1758587923909,live,org.eclipse.ditto:lightswitch:demo,after_db,3.483
1758587923914,live,org.eclipse.ditto:lightswitch:demo,after_db,3.483
1758587923953,live,org.eclipse.ditto:lightswitch:demo,after_db,3.708
1758587923956,live,org.eclipse.ditto:lightswitch:demo,after_db,3.708
1758587924026,live,org.eclipse.ditto:lightswitch:demo,after_db,3.517
1758587924030,live,org.eclipse.ditto:lightswitch:demo,after_db,3.517
1758587924037,live,org.eclipse.ditto:lightswitch:demo,after_db,3.384
1758587924039,live,org.eclipse.ditto:lightswitch:demo,after_db,3.384
1758587924073,live,org.eclipse.ditto:lightswitch:demo,after_db,3.239
1758587924076,live,org.eclipse.ditto:lightswitch:demo,after_db,3.239
1758587924114,live,org.eclipse.ditto:lightswitch:demo,after_db,3.405
1758587924117,live,org.eclipse.ditto:lightswitch:demo,after_db,3.405
1758587924217,live,org.eclipse.ditto:lightswitch:demo,after_db,3.461
1758587924221,live,org.eclipse.ditto:lightswitch:demo,after_db,3.461
1758587924224,live,org.eclipse.ditto:lightswitch:demo,after_db,3.733
1758587924228,live,org.eclipse.ditto:lightswitch:demo,after_db,3.733
1758587924299,live,org.eclipse.ditto:lightswitch:demo,after_db,2.906
1758587924303,live,org.eclipse.ditto:lightswitch:demo,after_db,2.906
1758587924307,live,org.eclipse.ditto:lightswitch:demo,after_db,2.612
1758587924310,live,org.eclipse.ditto:lightswitch:demo,after_db,2.612
1758587924382,live,org.eclipse.ditto:lightswitch:demo,after_db,3.477
1758587924386,live,org.eclipse.ditto:lightswitch:demo,after_db,3.477
1758587924389,live,org.eclipse.ditto:lightswitch:demo,after_db,3.861
1758587924392,live,org.eclipse.ditto:lightswitch:demo,after_db,3.861
1758587924475,live,org.eclipse.ditto:lightswitch:demo,after_db,3.777
1758587924479,live,org.eclipse.ditto:lightswitch:demo,after_db,3.777
1758587924500,live,org.eclipse.ditto:lightswitch:demo,after_db,2.504
1758587924506,live,org.eclipse.ditto:lightswitch:demo,after_db,2.504
1758587924546,live,org.eclipse.ditto:lightswitch:demo,after_db,3.716
1758587924553,live,org.eclipse.ditto:lightswitch:demo,after_db,3.716
1758587924562,live,org.eclipse.ditto:lightswitch:demo,after_db,2.574
1758587924569,live,org.eclipse.ditto:lightswitch:demo,after_db,2.574
1758587924577,live,org.eclipse.ditto:lightswitch:demo,after_db,3.306
1758587924585,live,org.eclipse.ditto:lightswitch:demo,after_db,3.306
1758587924616,live,org.eclipse.ditto:lightswitch:demo,after_db,3.76
1758587924622,live,org.eclipse.ditto:lightswitch:demo,after_db,3.76
1758587924630,live,org.eclipse.ditto:lightswitch:demo,after_db,3.981
1758587924639,live,org.eclipse.ditto:lightswitch:demo,after_db,3.981
1758587924657,live,org.eclipse.ditto:lightswitch:demo,after_db,3.518
1758587924663,live,org.eclipse.ditto:lightswitch:demo,after_db,3.518
1758587924732,live,org.eclipse.ditto:lightswitch:demo,after_db,3.824
1758587924738,live,org.eclipse.ditto:lightswitch:demo,after_db,3.824
1758587924778,live,org.eclipse.ditto:lightswitch:demo,after_db,2.551
1758587924784,live,org.eclipse.ditto:lightswitch:demo,after_db,2.551
1758587924793,live,org.eclipse.ditto:lightswitch:demo,after_db,2.919
1758587924801,live,org.eclipse.ditto:lightswitch:demo,after_db,2.919
1758587924815,live,org.eclipse.ditto:lightswitch:demo,after_db,3.947
1758587924822,live,org.eclipse.ditto:lightswitch:demo,after_db,3.947
1758587924864,live,org.eclipse.ditto:lightswitch:demo,after_db,2.627
1758587924871,live,org.eclipse.ditto:lightswitch:demo,after_db,2.627
1758587924919,live,org.eclipse.ditto:lightswitch:demo,after_db,3.934
1758587924926,live,org.eclipse.ditto:lightswitch:demo,after_db,3.934
1758587924967,live,org.eclipse.ditto:lightswitch:demo,after_db,2.669
1758587924973,live,org.eclipse.ditto:lightswitch:demo,after_db,2.669
1758587924981,live,org.eclipse.ditto:lightswitch:demo,after_db,2.873
1758587924988,live,org.eclipse.ditto:lightswitch:demo,after_db,2.873
1758587925082,live,org.eclipse.ditto:lightswitch:demo,after_db,3.271
1758587925088,live,org.eclipse.ditto:lightswitch:demo,after_db,3.271
1758587925098,live,org.eclipse.ditto:lightswitch:demo,after_db,3.689
1758587925104,live,org.eclipse.ditto:lightswitch:demo,after_db,3.689
1758587925119,live,org.eclipse.ditto:lightswitch:demo,after_db,3.577
